"Tissue","N genes","Beta","Beta STD","SE","P-value","Bonferroni P-value","Bonferroni significant","FDR P-value","FDR significant"
"Liver","16748","0.013936","0.024986","0.0066911","0.018646","0.988238","No","0.8835100000000001","No"
"Adipose Visceral Omentum","16748","0.0078708","0.015196","0.01166","0.24983","1.0","No","0.8835100000000001","No"
"Esophagus Muscularis","16748","0.0062213","0.012201","0.013046","0.31673","1.0","No","0.8835100000000001","No"
"Fallopian Tube","16748","-0.0013849","-0.0026664","0.012459","0.54426","1.0","No","0.8925848979591836","No"
"Heart Atrial Appendage","16748","-0.0020211","-0.0036074","0.0099052","0.58084","1.0","No","0.8925848979591836","No"
"Heart Left Ventricle","16748","-0.0071765","-0.011913","0.0094865","0.77532","1.0","No","0.8925848979591836","No"
"Kidney Cortex","16748","0.0098072","0.017121","0.0093932","0.14824","1.0","No","0.8835100000000001","No"
"Kidney Medulla","16748","0.0040624","0.0074593","0.0096771","0.33732","1.0","No","0.8925848979591836","No"
"Lung","16748","-0.010136","-0.019457","0.0096032","0.85438","1.0","No","0.8934241176470588","No"
"Minor Salivary Gland","16748","0.00028344","0.00052371","0.01002","0.48872","1.0","No","0.8925848979591836","No"
"Muscle Skeletal","16748","-0.0015351","-0.0028947","0.0072325","0.58404","1.0","No","0.8925848979591836","No"
"Nerve Tibial","16748","0.011983","0.023964","0.010497","0.12683","1.0","No","0.8835100000000001","No"
"Ovary","16748","-0.0044746","-0.0090201","0.010203","0.66951","1.0","No","0.8925848979591836","No"
"Pancreas","16748","0.0046733","0.0077733","0.0087844","0.29737","1.0","No","0.8835100000000001","No"
"Pituitary","16748","-0.010227","-0.018916","0.0094778","0.85971","1.0","No","0.8934241176470588","No"
"Prostate","16748","0.012182","0.022935","0.012553","0.16592","1.0","No","0.8835100000000001","No"
"Skin Not Sun Exposed Suprapubic","16748","0.01223","0.023446","0.0080996","0.065544","1.0","No","0.8835100000000001","No"
"Skin Sun Exposed Lower leg","16748","0.012217","0.023558","0.0081189","0.066205","1.0","No","0.8835100000000001","No"
"Small Intestine Terminal Ileum","16748","0.005413","0.0098788","0.010001","0.29416","1.0","No","0.8835100000000001","No"
"Spleen","16748","-0.0061275","-0.012074","0.0076915","0.78717","1.0","No","0.8925848979591836","No"
"Stomach","16748","0.010968","0.019797","0.012545","0.19097","1.0","No","0.8835100000000001","No"
"Testis","16748","0.0021618","0.0037022","0.0058909","0.35683","1.0","No","0.8925848979591836","No"
"Thyroid","16748","0.0049789","0.0097951","0.010107","0.31115","1.0","No","0.8835100000000001","No"
"Uterus","16748","0.0033469","0.0067774","0.011467","0.3852","1.0","No","0.8925848979591836","No"
"Esophagus Mucosa","16748","-0.0043262","-0.0083138","0.0079233","0.70746","1.0","No","0.8925848979591836","No"
"Vagina","16748","0.0084858","0.016109","0.011523","0.23075","1.0","No","0.8835100000000001","No"
"Esophagus Gastroesophageal Junction","16748","0.0065776","0.012873","0.013482","0.31282","1.0","No","0.8835100000000001","No"
"Colon Sigmoid","16748","0.0087026","0.016923","0.013129","0.25371","1.0","No","0.8835100000000001","No"
"Adrenal Gland","16748","-0.0098781","-0.018963","0.01056","0.82522","1.0","No","0.8925848979591836","No"
"Artery Aorta","16748","-0.014084","-0.028594","0.010711","0.90572","1.0","No","0.90572","No"
"Artery Coronary","16748","-0.010172","-0.020127","0.012438","0.79325","1.0","No","0.8925848979591836","No"
"Artery Tibial","16748","-0.0054585","-0.011185","0.010503","0.69836","1.0","No","0.8925848979591836","No"
"Bladder","16748","0.0081481","0.015778","0.013751","0.27675","1.0","No","0.8835100000000001","No"
"Brain Amygdala","16748","-0.0048828","-0.0082633","0.0083188","0.72138","1.0","No","0.8925848979591836","No"
"Brain Anterior cingulate cortex BA24","16748","-0.005183","-0.0090977","0.007641","0.75121","1.0","No","0.8925848979591836","No"
"Brain Caudate basal ganglia","16748","-0.00061186","-0.0010498","0.0083456","0.52922","1.0","No","0.8925848979591836","No"
"Brain Cerebellar Hemisphere","16748","-0.0055204","-0.011032","0.0063921","0.8061","1.0","No","0.8925848979591836","No"
"Brain Cerebellum","16748","-0.0047633","-0.0094132","0.0065974","0.76485","1.0","No","0.8925848979591836","No"
"Brain Cortex","16748","-0.0051837","-0.0093951","0.0075333","0.7543","1.0","No","0.8925848979591836","No"
"Brain Frontal Cortex BA9","16748","-0.0059437","-0.010885","0.0072614","0.79347","1.0","No","0.8925848979591836","No"
"Brain Hippocampus","16748","-0.007692","-0.012937","0.0084518","0.81861","1.0","No","0.8925848979591836","No"
"Brain Hypothalamus","16748","-0.0015423","-0.0026356","0.0086071","0.5711","1.0","No","0.8925848979591836","No"
"Brain Nucleus accumbens basal ganglia","16748","-0.0001908","-0.00032882","0.0080565","0.50945","1.0","No","0.8925848979591836","No"
"Brain Putamen basal ganglia","16748","0.00043994","0.00074385","0.0084065","0.47913","1.0","No","0.8925848979591836","No"
"Brain Spinal cord cervical c-1","16748","-0.010952","-0.019563","0.0090285","0.88744","1.0","No","0.9045061538461538","No"
"Brain Substantia nigra","16748","-0.0056137","-0.0096001","0.0090649","0.73213","1.0","No","0.8925848979591836","No"
"Breast Mammary Tissue","16748","0.013618","0.026013","0.013211","0.15132","1.0","No","0.8835100000000001","No"
"Cells Cultured fibroblasts","16748","0.0012229","0.002611","0.0068985","0.42965","1.0","No","0.8925848979591836","No"
"Cells EBV-transformed lymphocytes","16748","-0.0036476","-0.0079458","0.0051306","0.76144","1.0","No","0.8925848979591836","No"
"Cervix Ectocervix","16748","0.015549","0.03027","0.01275","0.11134","1.0","No","0.8835100000000001","No"
"Cervix Endocervix","16748","0.016759","0.032935","0.012164","0.084148","1.0","No","0.8835100000000001","No"
"Colon Transverse","16748","0.0021495","0.0039239","0.012086","0.42942","1.0","No","0.8925848979591836","No"
"Whole Blood","16748","-0.00095263","-0.0017177","0.0058898","0.56424","1.0","No","0.8925848979591836","No"
