# TOTAL_GENES = 16748
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   16748    0.0066794     0.013255     0.011288      0.27703 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   16748    0.0078708     0.015196      0.01166      0.24983 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   16748   -0.0098781    -0.018963      0.01056      0.82522 Adrenal_Gland
Artery_Aorta                        COVAR   16748    -0.014084    -0.028594     0.010711      0.90572 Artery_Aorta
Artery_Coronary                     COVAR   16748    -0.010172    -0.020127     0.012438      0.79325 Artery_Coronary
Artery_Tibial                       COVAR   16748   -0.0054585    -0.011185     0.010503      0.69836 Artery_Tibial
Bladder                             COVAR   16748    0.0081481     0.015778     0.013751      0.27675 Bladder
Brain_Amygdala                      COVAR   16748   -0.0048828   -0.0082633    0.0083188      0.72138 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   16748    -0.005183   -0.0090977     0.007641      0.75121 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   16748  -0.00061186   -0.0010498    0.0083456      0.52922 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   16748   -0.0055204    -0.011032    0.0063921       0.8061 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   16748   -0.0047633   -0.0094132    0.0065974      0.76485 Brain_Cerebellum
Brain_Cortex                        COVAR   16748   -0.0051837   -0.0093951    0.0075333       0.7543 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   16748   -0.0059437    -0.010885    0.0072614      0.79347 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   16748    -0.007692    -0.012937    0.0084518      0.81861 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   16748   -0.0015423   -0.0026356    0.0086071       0.5711 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   16748   -0.0001908  -0.00032882    0.0080565      0.50945 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   16748   0.00043994   0.00074385    0.0084065      0.47913 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   16748    -0.010952    -0.019563    0.0090285      0.88744 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   16748   -0.0056137   -0.0096001    0.0090649      0.73213 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   16748     0.013618     0.026013     0.013211      0.15132 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   16748    0.0012229     0.002611    0.0068985      0.42965 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   16748   -0.0036476   -0.0079458    0.0051306      0.76144 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   16748     0.015549      0.03027      0.01275      0.11134 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   16748     0.016759     0.032935     0.012164     0.084148 Cervix_Endocervix
Colon_Sigmoid                       COVAR   16748    0.0087026     0.016923     0.013129      0.25371 Colon_Sigmoid
Colon_Transverse                    COVAR   16748    0.0021495    0.0039239     0.012086      0.42942 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   16748    0.0065776     0.012873     0.013482      0.31282 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   16748   -0.0043262   -0.0083138    0.0079233      0.70746 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   16748    0.0062213     0.012201     0.013046      0.31673 Esophagus_Muscularis
Fallopian_Tube                      COVAR   16748   -0.0013849   -0.0026664     0.012459      0.54426 Fallopian_Tube
Heart_Atrial_Appendage              COVAR   16748   -0.0020211   -0.0036074    0.0099052      0.58084 Heart_Atrial_Appendage
Heart_Left_Ventricle                COVAR   16748   -0.0071765    -0.011913    0.0094865      0.77532 Heart_Left_Ventricle
Kidney_Cortex                       COVAR   16748    0.0098072     0.017121    0.0093932      0.14824 Kidney_Cortex
Kidney_Medulla                      COVAR   16748    0.0040624    0.0074593    0.0096771      0.33732 Kidney_Medulla
Liver                               COVAR   16748     0.013936     0.024986    0.0066911     0.018646 Liver
Lung                                COVAR   16748    -0.010136    -0.019457    0.0096032      0.85438 Lung
Minor_Salivary_Gland                COVAR   16748   0.00028344   0.00052371      0.01002      0.48872 Minor_Salivary_Gland
Muscle_Skeletal                     COVAR   16748   -0.0015351   -0.0028947    0.0072325      0.58404 Muscle_Skeletal
Nerve_Tibial                        COVAR   16748     0.011983     0.023964     0.010497      0.12683 Nerve_Tibial
Ovary                               COVAR   16748   -0.0044746   -0.0090201     0.010203      0.66951 Ovary
Pancreas                            COVAR   16748    0.0046733    0.0077733    0.0087844      0.29737 Pancreas
Pituitary                           COVAR   16748    -0.010227    -0.018916    0.0094778      0.85971 Pituitary
Prostate                            COVAR   16748     0.012182     0.022935     0.012553      0.16592 Prostate
Skin_Not_Sun_Exposed_Suprapu...     COVAR   16748      0.01223     0.023446    0.0080996     0.065544 Skin_Not_Sun_Exposed_Suprapubic
Skin_Sun_Exposed_Lower_leg          COVAR   16748     0.012217     0.023558    0.0081189     0.066205 Skin_Sun_Exposed_Lower_leg
Small_Intestine_Terminal_Ile...     COVAR   16748     0.005413    0.0098788     0.010001      0.29416 Small_Intestine_Terminal_Ileum
Spleen                              COVAR   16748   -0.0061275    -0.012074    0.0076915      0.78717 Spleen
Stomach                             COVAR   16748     0.010968     0.019797     0.012545      0.19097 Stomach
Testis                              COVAR   16748    0.0021618    0.0037022    0.0058909      0.35683 Testis
Thyroid                             COVAR   16748    0.0049789    0.0097951     0.010107      0.31115 Thyroid
Uterus                              COVAR   16748    0.0033469    0.0067774     0.011467       0.3852 Uterus
Vagina                              COVAR   16748    0.0084858     0.016109     0.011523      0.23075 Vagina
Whole_Blood                         COVAR   16748  -0.00095263   -0.0017177    0.0058898      0.56424 Whole_Blood
