# TOTAL_GENES = 16748
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   16748    0.0050007    0.0097606     0.013992      0.36039
Adrenal_Gland       COVAR   16748     -0.01319    -0.025321     0.010908      0.88668
Bladder             COVAR   16748    0.0040773    0.0078952     0.016929      0.40484
Blood               COVAR   16748   -0.0029253   -0.0052408    0.0064906      0.67389
Blood_Vessel        COVAR   16748    -0.015386    -0.031059     0.012313      0.89426
Brain               COVAR   16748   -0.0025396   -0.0043819    0.0072671      0.63663
Breast              COVAR   16748     0.013152     0.025123     0.016563      0.21359
Cervix_Uteri        COVAR   16748     0.017326     0.033796     0.014975      0.12365
Colon               COVAR   16748    0.0021699    0.0040341     0.016576      0.44793
Esophagus           COVAR   16748   -0.0092871    -0.017381      0.01798      0.69725
Fallopian_Tube      COVAR   16748   -0.0081526    -0.015696     0.014714      0.71023
Heart               COVAR   16748   -0.0066402     -0.01136    0.0099931       0.7468
Kidney              COVAR   16748    0.0083857     0.014658    0.0099173       0.1989
Liver               COVAR   16748     0.013721     0.024601      0.00692     0.023704
Lung                COVAR   16748    -0.017472    -0.033539     0.011067      0.94279
Muscle              COVAR   16748    -0.002408   -0.0045408     0.007208      0.63084
Nerve               COVAR   16748     0.010094     0.020186     0.010854       0.1762
Ovary               COVAR   16748    -0.008047    -0.016221     0.010835      0.77116
Pancreas            COVAR   16748    0.0031837    0.0052956    0.0092001      0.36466
Pituitary           COVAR   16748   -0.0095303    -0.017627      0.00883      0.85977
Prostate            COVAR   16748      0.01056     0.019882     0.014558      0.23411
Salivary_Gland      COVAR   16748   -0.0034686   -0.0064088     0.011323      0.62032
Skin                COVAR   16748     0.012988      0.02462     0.010624      0.11077
Small_Intestine     COVAR   16748    0.0031166    0.0056878     0.011291      0.39127
Spleen              COVAR   16748   -0.0091303    -0.017991    0.0082576      0.86556
Stomach             COVAR   16748    0.0088819     0.016031      0.01428      0.26698
Testis              COVAR   16748    0.0017288    0.0029607    0.0058919       0.3846
Thyroid             COVAR   16748     0.002468    0.0048553     0.011319       0.4137
Uterus              COVAR   16748  -0.00025263  -0.00051158     0.012633      0.50798
Vagina              COVAR   16748     0.006198     0.011766     0.013277      0.32031
