"Tissue","N genes","Beta","Beta STD","SE","P-value","Bonferroni P-value","Bonferroni significant","FDR P-value","FDR significant"
"Liver","16748","0.013721","0.024601","0.00692","0.023704","0.687416","No","0.687416","No"
"Adrenal Gland","16748","-0.01319","-0.025321","0.010908","0.88668","1.0","No","0.9261978571428572","No"
"Thyroid","16748","0.002468","0.0048553","0.011319","0.4137","1.0","No","0.85695","No"
"Testis","16748","0.0017288","0.0029607","0.0058919","0.3846","1.0","No","0.85695","No"
"Stomach","16748","0.0088819","0.016031","0.01428","0.26698","1.0","No","0.85695","No"
"Spleen","16748","-0.0091303","-0.017991","0.0082576","0.86556","1.0","No","0.9261978571428572","No"
"Small Intestine","16748","0.0031166","0.0056878","0.011291","0.39127","1.0","No","0.85695","No"
"Skin","16748","0.012988","0.02462","0.010624","0.11077","1.0","No","0.85695","No"
"Salivary Gland","16748","-0.0034686","-0.0064088","0.011323","0.62032","1.0","No","0.9261978571428572","No"
"Prostate","16748","0.01056","0.019882","0.014558","0.23411","1.0","No","0.85695","No"
"Pituitary","16748","-0.0095303","-0.017627","0.00883","0.85977","1.0","No","0.9261978571428572","No"
"Pancreas","16748","0.0031837","0.0052956","0.0092001","0.36466","1.0","No","0.85695","No"
"Ovary","16748","-0.008047","-0.016221","0.010835","0.77116","1.0","No","0.9261978571428572","No"
"Nerve","16748","0.010094","0.020186","0.010854","0.1762","1.0","No","0.85695","No"
"Muscle","16748","-0.002408","-0.0045408","0.007208","0.63084","1.0","No","0.9261978571428572","No"
"Lung","16748","-0.017472","-0.033539","0.011067","0.94279","1.0","No","0.94279","No"
"Kidney","16748","0.0083857","0.014658","0.0099173","0.1989","1.0","No","0.85695","No"
"Heart","16748","-0.0066402","-0.01136","0.0099931","0.7468","1.0","No","0.9261978571428572","No"
"Fallopian Tube","16748","-0.0081526","-0.015696","0.014714","0.71023","1.0","No","0.9261978571428572","No"
"Esophagus","16748","-0.0092871","-0.017381","0.01798","0.69725","1.0","No","0.9261978571428572","No"
"Colon","16748","0.0021699","0.0040341","0.016576","0.44793","1.0","No","0.8659979999999999","No"
"Cervix Uteri","16748","0.017326","0.033796","0.014975","0.12365","1.0","No","0.85695","No"
"Breast","16748","0.013152","0.025123","0.016563","0.21359","1.0","No","0.85695","No"
"Brain","16748","-0.0025396","-0.0043819","0.0072671","0.63663","1.0","No","0.9261978571428572","No"
"Blood Vessel","16748","-0.015386","-0.031059","0.012313","0.89426","1.0","No","0.9261978571428572","No"
"Blood","16748","-0.0029253","-0.0052408","0.0064906","0.67389","1.0","No","0.9261978571428572","No"
"Bladder","16748","0.0040773","0.0078952","0.016929","0.40484","1.0","No","0.85695","No"
"Uterus","16748","-0.00025263","-0.00051158","0.012633","0.50798","1.0","No","0.92071375","No"
"Vagina","16748","0.006198","0.011766","0.013277","0.32031","1.0","No","0.85695","No"
