# MEAN_SAMPLE_SIZE = 151188
# TOTAL_GENES = 13738
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   13738  -0.00024883   -0.0068922   0.00042172      0.72241
9_pcw        COVAR   13738   3.8894e-05   0.00090866   0.00051435      0.46986
12_pcw       COVAR   13738  -0.00076675    -0.020176   0.00051009      0.93359
13_pcw       COVAR   13738  -0.00069673    -0.019128   0.00048482      0.92464
16_pcw       COVAR   13738  -0.00055511    -0.013887   0.00059446      0.82479
17_pcw       COVAR   13738  -0.00087579    -0.021088   0.00066105      0.90737
19_pcw       COVAR   13738     -0.00104    -0.030035   0.00048478      0.98403
21_pcw       COVAR   13738    -0.000741    -0.018104   0.00067394      0.86421
24_pcw       COVAR   13738  -0.00027428   -0.0078571   0.00057821      0.68237
26_pcw       COVAR   13738  -0.00015597   -0.0031381    0.0010096      0.56139
37_pcw       COVAR   13738   -0.0003752    -0.011062   0.00059126      0.73714
4_mos        COVAR   13738   0.00010738    0.0027376    0.0012205      0.46495
10_mos       COVAR   13738     0.001495     0.042973   0.00075888     0.024431
1_yrs        COVAR   13738    0.0017406     0.039259   0.00087592     0.023463
2_yrs        COVAR   13738   0.00016876    0.0034608   0.00059541      0.38842
3_yrs        COVAR   13738   0.00097403     0.023681   0.00069119       0.0794
4_yrs        COVAR   13738  -0.00023934   -0.0077019   0.00052301      0.67638
8_yrs        COVAR   13738   0.00018204    0.0051931   0.00080734       0.4108
11_yrs       COVAR   13738    0.0007048     0.018057   0.00081928      0.19483
13_yrs       COVAR   13738    0.0021801     0.048475   0.00095477     0.011213
15_yrs       COVAR   13738    0.0011382      0.02593     0.000867     0.094644
18_yrs       COVAR   13738   7.8727e-06   0.00016409   0.00082204      0.49618
19_yrs       COVAR   13738    0.0018023     0.045263   0.00074328    0.0076655
21_yrs       COVAR   13738   0.00061485     0.014077   0.00083763      0.23147
23_yrs       COVAR   13738   0.00084265     0.018223   0.00097347      0.19336
30_yrs       COVAR   13738    0.0011374     0.031968   0.00061617     0.032468
36_yrs       COVAR   13738    0.0016645     0.034603   0.00095492     0.040671
37_yrs       COVAR   13738    0.0013893     0.029428   0.00091798     0.065102
40_yrs       COVAR   13738  -0.00015844   -0.0043454   0.00071697      0.58744
