"Ensembl Gene ID","Gene name","Chromosome","Start position","End position","N SNPs","N Param","Z-score","P-value","Bonferroni P-value","Bonferroni significant"
"ENSG00000205334","AC074091.13","2","27928653","27938599","9","3","7.891","1.4988e-15","2.73111336e-11","Yes"
"ENSG00000106636","YKT6","7","44240567","44253893","23","5","7.8865","1.5543e-15","2.83224546e-11","Yes"
"ENSG00000152253","SPC25","2","169690642","169769881","104","12","7.8327","2.387e-15","4.3495914e-11","Yes"
"ENSG00000121671","CRY2","11","45868669","45904798","47","8","7.6867","7.5495e-15","1.37566989e-10","Yes"
"ENSG00000106633","GCK","7","44183872","44237769","94","14","7.6164","1.3045e-14","2.3770598999999997e-10","Yes"
"ENSG00000115207","GTF3C2","2","27548716","27579868","13","2","7.6048","1.4266e-14","2.59955052e-10","Yes"
"ENSG00000134640","MTNR1B","11","92702886","92718232","32","6","7.5534","2.1205e-14","3.8639751e-10","Yes"
"ENSG00000134571","MYBPC3","11","47352957","47374253","36","9","7.4358","5.1958e-14","9.46778676e-10","Yes"
"ENSG00000073734","ABCB11","2","169779448","169887832","183","19","7.2997","1.4416e-13","2.62688352e-09","Yes"
"ENSG00000163581","SLC2A2","3","170714137","170744539","65","4","7.1605","4.0179e-13","7.32141738e-09","Yes"
"ENSG00000134825","TMEM258","11","61535973","61560274","27","5","7.1255","5.1836e-13","9.445555920000001e-09","Yes"
"ENSG00000152254","G6PC2","2","169757750","169766505","9","2","6.9628","1.6675e-12","3.0385185e-08","Yes"
"ENSG00000134824","FADS2","11","61560452","61634826","111","10","6.8714","3.1792e-12","5.79313824e-08","Yes"
"ENSG00000163795","ZNF513","2","27600098","27603657","1","1","6.7902","5.6e-12","1.0204320000000001e-07","Yes"
"ENSG00000110514","MADD","11","47290712","47351582","107","9","6.6202","1.7933e-11","3.2677512599999997e-07","Yes"
"ENSG00000243943","ZNF512","2","27805897","27858041","75","5","6.541","3.0564e-11","5.56937208e-07","Yes"
"ENSG00000149485","FADS1","11","61567099","61596790","27","2","6.465","5.0657e-11","9.230718540000001e-07","Yes"
"ENSG00000123444","KBTBD4","11","47593749","47600567","3","2","6.2765","1.7314e-10","3.15495708e-06","Yes"
"ENSG00000157992","KRTCAP3","2","27665233","27669348","3","1","6.2178","2.5214e-10","4.594495080000001e-06","Yes"
"ENSG00000025434","NR1H3","11","47269851","47290396","36","4","6.2092","2.6632e-10","4.85288304e-06","Yes"
"ENSG00000138002","IFT172","2","27667238","27712656","42","2","6.1406","4.1093e-10","7.48796646e-06","Yes"
"ENSG00000134575","ACP2","11","47260853","47270457","24","4","6.1402","4.1217e-10","7.510561739999999e-06","Yes"
"ENSG00000115241","PPM1G","2","27604061","27632554","28","2","6.1314","4.3565e-10","7.9384143e-06","Yes"
"ENSG00000221843","C2orf16","2","27799389","27805588","6","2","6.1094","5e-10","9.111000000000001e-06","Yes"
"ENSG00000084734","GCKR","2","27719709","27746554","30","4","6.1094","5e-10","9.111000000000001e-06","Yes"
"ENSG00000115211","EIF2B4","2","27587219","27593353","3","1","6.0994","5.3236e-10","9.70066392e-06","Yes"
"ENSG00000163072","NOSTRIN","2","169643049","169722024","110","13","6.0775","6.1049e-10","1.112434878e-05","Yes"
"ENSG00000124920","MYRF","11","61520114","61555990","45","8","6.0307","8.1633e-10","1.4875165260000001e-05","Yes"
"ENSG00000107249","GLIS3","9","3824127","4348392","1161","127","5.8709","2.1666e-09","3.9479785199999996e-05","Yes"
"ENSG00000233438","AC109829.1","2","27760253","27790011","46","4","5.823","2.8903e-09","5.26670466e-05","Yes"
"ENSG00000158019","BRE","2","28112808","28561768","625","30","5.7659","4.0602e-09","7.398496439999999e-05","Yes"
"ENSG00000168496","FEN1","11","61560109","61564716","3","2","5.7197","5.3372e-09","9.725445840000001e-05","Yes"
"ENSG00000115204","MPV17","2","27532360","27548547","12","3","5.6868","6.4734e-09","0.00011795829479999999","Yes"
"ENSG00000115234","SNX17","2","27593389","27599995","5","1","5.6523","7.9143e-09","0.0001442143746","Yes"
"ENSG00000136267","DGKB","7","14184674","15014402","1742","118","5.6506","7.9959e-09","0.0001457012898","Yes"
"ENSG00000148737","TCF7L2","10","114710009","114927437","196","25","5.6324","8.8875e-09","0.00016194802499999998","Yes"
"ENSG00000149187","CELF1","11","47487496","47587121","75","10","5.6271","9.1648e-09","0.00016700098560000002","Yes"
"ENSG00000134574","DDB2","11","47236493","47260767","51","6","5.6139","9.8937e-09","0.00018028300139999998","Yes"
"ENSG00000125798","FOXA2","20","22561643","22566093","1","1","5.5804","1.2e-08","0.000218664","Yes"
"ENSG00000165917","RAPSN","11","47459308","47470730","30","4","5.5491","1.436e-08","0.00026166792","Yes"
"ENSG00000115226","FNDC4","2","27714750","27718112","4","1","5.4802","2.1239e-08","0.000387017058","Yes"
"ENSG00000243147","MRPL33","2","27994584","28210954","244","10","5.4054","3.2327e-08","0.000589062594","Yes"
"ENSG00000145996","CDKAL1","6","20534688","21232635","1208","63","5.387","3.5815e-08","0.00065262093","Yes"
"ENSG00000171174","RBKS","2","28004231","28113965","139","6","5.2719","6.7507e-08","0.001230112554","Yes"
"ENSG00000213221","DNLZ","9","139253932","139258241","10","3","5.0971","1.7248e-07","0.00314293056","Yes"
"ENSG00000106070","GRB10","7","50657760","50861159","430","22","4.989","3.0348e-07","0.00553001256","Yes"
"ENSG00000165916","PSMC3","11","47440320","47447993","14","3","4.9157","4.4234e-07","0.00806031948","Yes"
"ENSG00000181830","SLC35C1","11","45825623","45834566","20","7","4.8843","5.1887e-07","0.00945484914","Yes"
"ENSG00000268656","AC110084.1","2","27998851","28009186","5","1","4.8677","5.645e-07","0.010286318999999999","Yes"
"ENSG00000091844","RGS17","6","153325594","153452384","162","15","4.7954","8.1183e-07","0.014793166259999999","Yes"
"ENSG00000163793","DNAJC5G","2","27498289","27504367","4","1","4.7913","8.2856e-07","0.015098020319999999","Yes"
"ENSG00000106631","MYL7","7","44178463","44180931","4","2","4.7854","8.5328e-07","0.01554846816","Yes"
"ENSG00000213619","NDUFS3","11","47586888","47606114","13","4","4.7091","1.244e-06","0.022668168000000002","Yes"
"ENSG00000084764","MAPRE3","2","27193480","27250064","37","1","4.7026","1.2846e-06","0.0234079812","Yes"
"ENSG00000115216","NRBP1","2","27650657","27665126","11","1","4.6931","1.3452e-06","0.024512234400000003","Yes"
"ENSG00000140107","SLC25A47","14","100789674","100796715","4","2","4.6892","1.3713e-06","0.024987828599999998","Yes"
"ENSG00000173175","ADCY5","3","123001143","123168605","265","16","4.6811","1.4267e-06","0.0259973274","Yes"
"ENSG00000164062","APEH","3","49711435","49721396","6","2","4.6663","1.5337e-06","0.0279470814","Yes"
"ENSG00000173531","MST1","3","49721380","49726934","3","1","4.6463","1.6896e-06","0.0307878912","Yes"
"ENSG00000140105","WARS","14","100800125","100843142","109","5","4.605","2.0625e-06","0.037582875","Yes"
"ENSG00000198522","GPN1","2","27851114","27874375","39","5","4.5812","2.3111e-06","0.0421128642","Yes"
"ENSG00000233276","GPX1","3","49394609","49396033","2","1","4.5537","2.6355e-06","0.048024081","Yes"
"ENSG00000164061","BSN","3","49591922","49708978","105","6","4.527","2.992e-06","0.054520224","No"
"ENSG00000187796","CARD9","9","139256355","139268133","15","3","4.5192","3.1044e-06","0.0565683768","No"
"ENSG00000138100","TRIM54","2","27505260","27530307","21","2","4.4967","3.451e-06","0.062884122","No"
"ENSG00000103066","PLA2G15","16","68279207","68294961","21","3","4.4925","3.519e-06","0.064123218","No"
"ENSG00000084774","CAD","2","27440258","27466811","56","6","4.4806","3.7221e-06","0.0678241062","No"
"ENSG00000175264","CHST1","11","45670427","45687172","18","4","4.4772","3.7807e-06","0.0688919154","No"
"ENSG00000160360","GPSM1","9","139221932","139254057","14","3","4.4612","4.0747e-06","0.0742491834","No"
"ENSG00000151726","ACSL1","4","185676749","185747972","45","9","4.4236","4.8534e-06","0.0884386548","No"
"ENSG00000121680","PEX16","11","45931220","45940363","15","4","4.3576","6.5763e-06","0.1198333386","No"
"ENSG00000177045","SIX5","19","46268043","46272484","3","1","4.337","7.2204e-06","0.13157012880000002","No"
"ENSG00000145020","AMT","3","49454211","49460186","8","2","4.336","7.2554e-06","0.1322078988","No"
"ENSG00000084693","AGBL5","2","27265232","27293490","21","2","4.3325","7.3728e-06","0.1343471616","No"
"ENSG00000145022","TCTA","3","49449639","49453908","5","2","4.2897","8.9451e-06","0.1629976122","No"
"ENSG00000173402","DAG1","3","49506146","49573048","75","5","4.2743","9.587e-06","0.174694314","No"
"ENSG00000138030","KHK","2","27309615","27323640","11","1","4.2661","9.9466e-06","0.1812469452","No"
"ENSG00000138080","EMILIN1","2","27301435","27309271","2","1","4.2292","1.1727e-05","0.213689394","No"
"ENSG00000138074","SLC5A6","2","27422455","27435826","24","4","4.2248","1.196e-05","0.21793512","No"
"ENSG00000157851","DPYSL5","2","27070615","27173219","98","3","4.2037","1.3131e-05","0.239273082","No"
"ENSG00000149179","C11orf49","11","46958240","47185936","217","12","4.1817","1.4467e-05","0.263617674","No"
"ENSG00000148384","INPP5E","9","139323071","139334274","22","3","4.179","1.4642e-05","0.266806524","No"
"ENSG00000138028","CGREF1","2","27321757","27341995","7","1","4.1755","1.4865e-05","0.27087003000000004","No"
"ENSG00000109332","UBE2D3","4","103715540","103790053","111","3","4.1722","1.5081e-05","0.274805982","No"
"ENSG00000109323","MANBA","4","103552660","103682151","197","12","4.1461","1.6911e-05","0.308152242","No"
"ENSG00000119777","TMEM214","2","27255778","27264563","5","2","4.1227","1.8726e-05","0.341225172","No"
"ENSG00000058404","CAMK2B","7","44256749","44374176","69","10","4.1197","1.8966e-05","0.345598452","No"
"ENSG00000172292","CERS6","2","169312372","169631644","418","29","4.1029","2.0397e-05","0.37167413400000004","No"
