ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000049246	PER3	1	7844380	7905237	1	protein_coding	8863	PER3	2.19067741322434e-10	-0.648392326	0	0	1	3.0178e-08	0.000380896571930853	eQTLGen_trans_eQTLs	-	No	NA	8.5e-76	rs4607517	13
ENSG00000116133	DHCR24	1	55315306	55352891	-1	protein_coding	1718	DHCR24	0.969136893394347	0.120324783	0	0	4	8.6688e-15	0	eQTLGen_trans_eQTLs	-	No	NA	3.8e-18	rs174576	26
ENSG00000197965	MPZL1	1	167690429	167761156	1	protein_coding	9019	MPZL1	0.327816834049089	1.927872005	0	0	1	2.3424e-08	0.000317076853389703	eQTLGen_trans_eQTLs	+	No	NA	7.8e-16	rs7944584	24
ENSG00000136643	RPS6KC1	1	213224589	213448116	1	protein_coding	26750	RPS6KC1	0.0204400966055895	-0.735885967	0	0	1	0.000143932	0.0247117	GTEx/v8/Cells_Cultured_fibroblasts	-	No	NA	1.3e-09	rs340874;rs7529073	1
ENSG00000117707	PROX1	1	214156524	214214595	1	protein_coding	5629	PROX1	0.993426962817253	-0.992913882	1	17.72	0	NA	NA	NA	NA	No	NA	7.9e-12	rs17712208	1
ENSG00000172059	KLF11	2	10182976	10194963	1	protein_coding	8462	KLF11	0.00111669037367127	-0.421281973	0	0	1	3.3129e-06	0.0234872611464968	eQTLGen_trans_eQTLs	-	No	NA	2.5e-36	rs780093	2
ENSG00000115129	TP53I3	2	24300303	24308731	-1	protein_coding	9540	TP53I3	3.7580421810693e-07	0.785512855	0	0	1	3.7983e-07	0.00340533392109323	eQTLGen_trans_eQTLs	+	No	NA	7.6e-05	rs8044995	37
ENSG00000157851	DPYSL5	2	27070615	27173219	1	protein_coding	56896	DPYSL5	0.998332100766402	-1.359535382	0	0	5	0.000147666	8.97195e-13	CMC_SVA_cis:GTEx/v8/Muscle_Skeletal	+	No	NA	4.3e-11	rs780110;rs13013484;rs1870325	2
ENSG00000084764	MAPRE3	2	27193480	27250064	1	protein_coding	22924	MAPRE3	0.799864407370243	-0.767319281	0	0	2	0.000144594	1.11214e-13	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Muscle_Skeletal	+	Yes	GM12878	1.4e-13	rs965813;rs1870325;rs780110	2
ENSG00000119777	TMEM214	2	27255778	27264563	1	protein_coding	54867	TMEM214	0.00116735534958103	-0.517227915	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:GM12878	1.4e-13	rs780110	2
ENSG00000084693	AGBL5	2	27265232	27293490	1	protein_coding	60509	AGBL5	0.0206948513459665	-0.378650928	0	0	0	NA	NA	NA	NA	Yes	GM12878	1.4e-13	rs780110	2
ENSG00000228474	OST4	2	27293340	27294641	-1	protein_coding	100128731	OST4	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:GM12878:IMR90:Mesenchymal_Stem_Cell:Trophoblast-like_Cell:hESC	1.4e-13	rs780110:rs13404446:rs13404446;rs1275504	2
ENSG00000138080	EMILIN1	2	27301435	27309271	1	protein_coding	11117	EMILIN1	0.00521656081419512	NA	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:GM12878:IMR90:Mesenchymal_Stem_Cell:Trophoblast-like_Cell:hESC	1.4e-13	rs780110:rs13404446:rs13404446;rs1275504	2
ENSG00000138030	KHK	2	27309615	27323640	1	protein_coding	3795	KHK	5.36079485314004e-05	NA	0	0	29	7.4689e-16	0	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Pituitary:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg	+	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:GM12878:IMR90:Mesenchymal_Stem_Cell:Trophoblast-like_Cell:hESC	1.4e-15	rs13404446;rs1275504;rs780110;rs965813;rs4665987;rs13023194;rs1870325;rs13013484;rs6737313;rs1275504:rs780110:rs13404446	2
ENSG00000138028	CGREF1	2	27321757	27341995	-1	protein_coding	10669	CGREF1	5.50290788195318e-08	0.491986309	0	0	22	2.58607e-11	0	PsychENCODE_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Pituitary:GTEx/v8/Cells_Cultured_fibroblasts	+	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Liver:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	7.6e-15	rs4665987;rs13023194;rs13404446;rs1275504;rs965813;rs1870325;rs13013484;rs6737313;rs1275504:rs780110:rs13404446	2
ENSG00000143994	ABHD1	2	27346682	27353680	1	protein_coding	84696	ABHD1	1.06027288753589e-21	-0.251069432	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Liver:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	1.4e-13	rs13404446;rs1275504:rs780110:rs13404446	2
ENSG00000138073	PREB	2	27353624	27357543	-1	protein_coding	10113	PREB	0.0018983627682706	-0.154458724	0	0	1	2.23466e-09	1.11733e-05	eQTLcatalogue/TwinsUK_ge_fat	+	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Liver:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	1.4e-13	rs13404446;rs1275504;rs780110:rs13404446:rs13404446	2
ENSG00000186143	C2orf53	2	27359723	27362278	-1	protein_coding	339779	C2orf53	1.54927478958821e-09	0.62491408	0	0	0	NA	NA	NA	NA	Yes	IMR90	1.4e-10	rs13404446;rs1275504	2
ENSG00000163792	TCF23	2	27371872	27376378	1	protein_coding	150921	TCF23	0.000503312310069814	-0.683069484	0	0	0	NA	NA	NA	NA	Yes	IMR90	1.4e-10	rs13404446;rs1275504	2
ENSG00000138074	SLC5A6	2	27422455	27435826	-1	protein_coding	8884	SLC5A6	0.571968337581082	-0.400099261	1	22.3	17	3.27170000000001e-310	0	EyeGEx:eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/CEDAR_B-cell_CD19:eQTLcatalogue/CEDAR_T-cell_CD8:eQTLcatalogue/Fairfax_2012_B-cell_CD19:eQTLcatalogue/Fairfax_2014_IFN24:eQTLcatalogue/Fairfax_2014_naive:eQTLcatalogue/GENCORD_ge_T-cell:eQTLcatalogue/Kasela_2017_T-cell_CD4:eQTLcatalogue/Lepik_2017_ge_blood:eQTLcatalogue/TwinsUK_ge_fat:eQTLcatalogue/TwinsUK_ge_LCL:PsychENCODE_eQTLs:scRNA_eQTLs/PBMC:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adrenal_Gland:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Coronary:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Ovary:GTEx/v8/Pancreas:GTEx/v8/Pituitary:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Spleen:GTEx/v8/Thyroid	-	Yes	Adult_Cortex:IMR90	2.5e-36	rs13404446;rs1275504;rs780110;rs780093;rs4665987;rs13023194;rs780110:rs13404446	2
