"Ensembl ID","Gene","Gene type","Chr","Start","End","posMap","eqtlMap","ciMap","N posMap","Max CADD posMap","N eqtlMap","min P eqtlMap","eqtlMapminQ","Tissue eqtlMap","Tissue ciMap","SNPs posMap","SNPs eqtlMap","SNPs ciMap"
"ENSG00000049246","PER3","protein_coding","1","7844380","7905237","No","Yes","No","0","0.0","1","3.0178e-08","0.00038089657193085297","eQTLGen trans eQTLs","-","-","rs1799884","-"
"ENSG00000116133","DHCR24","protein_coding","1","55315306","55352891","No","Yes","No","0","0.0","4","8.668799999999999e-15","0.0","eQTLGen trans eQTLs","-","-","rs174535, rs174538, rs174545, rs174546","-"
"ENSG00000197965","MPZL1","protein_coding","1","167690429","167761156","No","Yes","No","0","0.0","1","2.3424000000000002e-08","0.000317076853389703","eQTLGen trans eQTLs","-","-","rs10501320","-"
"ENSG00000136643","RPS6KC1","protein_coding","1","213224589","213448116","No","Yes","No","0","0.0","1","0.00014393200000000002","0.024711700000000003","GTEx/v8/Cells Cultured fibroblasts","-","-","rs340835","-"
"ENSG00000117707","PROX1","protein_coding","1","214156524","214214595","Yes","No","No","1","17.72","0","-","-","-","-","rs17712208","-","-"
"ENSG00000172059","KLF11","protein_coding","2","10182976","10194963","No","Yes","No","0","0.0","1","3.3129e-06","0.0234872611464968","eQTLGen trans eQTLs","-","-","rs1260326","-"
"ENSG00000115129","TP53I3","protein_coding","2","24300303","24308731","No","Yes","No","0","0.0","1","3.7983000000000003e-07","0.00340533392109323","eQTLGen trans eQTLs","-","-","rs8060686","-"
"ENSG00000157851","DPYSL5","protein_coding","2","27070615","27173219","No","Yes","No","0","0.0","5","0.000147666","8.971950000000001e-13","CMC SVA cis, GTEx/v8/Muscle Skeletal","-","-","rs10182937, rs780100, rs8395, rs4666013, rs12473400","-"
"ENSG00000084764","MAPRE3","protein_coding","2","27193480","27250064","No","Yes","Yes","0","0.0","2","0.000144594","1.1121400000000001e-13","GTEx/v8/Adipose Subcutaneous, GTEx/v8/Muscle Skeletal","GM12878","-","rs4665385, rs3811644","rs11689803;rs11126975;rs6743819;rs56166164;rs10205219;rs10205592;rs112796438;rs545450704;rs34264490;rs11693959;rs4665969;rs534971452;rs6760828;rs9678013;rs6729692;rs6729709;rs6716894;rs369277568;rs56789202;rs548218593;rs7586601;rs11409868;rs11695549;rs570110094;rs529338848;rs372524722;rs59639860;rs2280737;rs80051818;rs7602534;rs1528533;rs6547589;rs3215365;rs4665972;rs12475426;rs1104"
"ENSG00000119777","TMEM214","protein_coding","2","27255778","27264563","No","No","Yes","0","0.0","0","-","-","-","Adult Cortex, GM12878","-","-","rs80051818;rs7602534;rs1528533;rs6547589;rs3215365;rs4665972;rs12475426;rs1104, rs11689803;rs11126975;rs6743819;rs56166164;rs10205219;rs10205592;rs112796438;rs545450704;rs34264490;rs11693959;rs4665969;rs534971452;rs6760828;rs9678013;rs6729692;rs6729709;rs6716894;rs369277568;rs56789202;rs548218593;rs7586601;rs11409868;rs11695549;rs570110094;rs529338848;rs372524722;rs59639860;rs2280737;rs80051818;rs7602534;rs1528533;rs6547589;rs3215365;rs4665972;rs12475426;rs1104"
"ENSG00000084693","AGBL5","protein_coding","2","27265232","27293490","No","No","Yes","0","0.0","0","-","-","-","GM12878","-","-","rs11689803;rs11126975;rs6743819;rs56166164;rs10205219;rs10205592;rs112796438;rs545450704;rs34264490;rs11693959;rs4665969;rs534971452;rs6760828;rs9678013;rs6729692;rs6729709;rs6716894;rs369277568;rs56789202;rs548218593;rs7586601;rs11409868;rs11695549;rs570110094;rs529338848;rs372524722;rs59639860;rs2280737;rs80051818;rs7602534;rs1528533;rs6547589;rs3215365;rs4665972;rs12475426;rs1104"
"ENSG00000228474","OST4","protein_coding","2","27293340","27294641","No","No","Yes","0","0.0","0","-","-","-","Adult Cortex, Fetal Cortex, GM12878, IMR90, Mesenchymal Stem Cell, Trophoblast-like Cell, hESC","-","-","rs80051818;rs7602534;rs1528533;rs6547589;rs3215365;rs4665972;rs12475426;rs1104, rs11689803;rs11126975;rs6743819;rs56166164;rs10205219;rs10205592;rs112796438;rs545450704;rs34264490;rs11693959;rs4665969;rs534971452;rs6760828;rs9678013;rs6729692;rs6729709;rs6716894;rs369277568;rs56789202;rs548218593;rs7586601;rs11409868;rs11695549;rs570110094;rs529338848;rs372524722;rs59639860;rs2280737;rs80051818;rs7602534;rs1528533;rs6547589;rs3215365;rs4665972;rs12475426;rs1104, rs2384575;rs1275541;rs35751294;rs1439768;rs34303460;rs62128743;rs557990471;rs577930230;rs1659689;rs2580754;rs1659676, rs1978881;rs2384576;rs6709602;rs1821986;rs1659696;rs34759750;rs2439074;rs62128745;rs62128746;rs12468809;rs1659699;rs62128747;rs11693001;rs12465084;rs5830038;rs1275504;rs60555785;rs79279175;rs34618115;rs1275501;rs1659685;rs1395;rs2580761;rs1275522;rs1275528;rs2580759;rs1275530;rs1275535;rs36109859;rs11126918;rs2840026"
"ENSG00000138080","EMILIN1","protein_coding","2","27301435","27309271","No","No","Yes","0","0.0","0","-","-","-","Adult Cortex, Fetal Cortex, GM12878, IMR90, Mesenchymal Stem Cell, Trophoblast-like Cell, hESC","-","-","rs80051818;rs7602534;rs1528533;rs6547589;rs3215365;rs4665972;rs12475426;rs1104, rs2384575;rs1275541;rs35751294;rs1439768;rs34303460;rs62128743;rs557990471;rs577930230;rs1659689;rs2580754;rs1659676, rs1978881;rs2384576;rs6709602;rs1821986;rs1659696;rs34759750;rs2439074;rs62128745;rs62128746;rs12468809;rs1659699;rs62128747;rs11693001;rs12465084;rs5830038;rs1275504;rs60555785;rs79279175;rs34618115;rs1275501;rs1659685;rs1395;rs2580761;rs1275522;rs1275528;rs2580759;rs1275530;rs1275535;rs36109859;rs11126918;rs2840026, rs1647267;rs2303370;rs10182937;rs780100;rs35886281;rs780101;rs61609483;rs3845686;rs809673;rs3214499;rs704791;rs780102, rs11689803;rs11126975;rs6743819;rs56166164;rs10205219;rs10205592;rs112796438;rs545450704;rs34264490;rs11693959;rs4665969;rs534971452;rs6760828;rs9678013;rs6729692;rs6729709;rs6716894;rs369277568;rs56789202;rs548218593;rs7586601;rs11409868;rs11695549;rs570110094;rs529338848;rs372524722;rs59639860;rs2280737;rs80051818;rs7602534;rs1528533;rs6547589;rs3215365;rs4665972;rs12475426;rs1104"
"ENSG00000138030","KHK","protein_coding","2","27309615","27323640","No","Yes","Yes","0","0.0","29","7.4689e-16","0.0","eQTLGen cis eQTLs, BIOSQTL/BIOS eQTL geneLevel, GTEx/v8/Adipose Subcutaneous, GTEx/v8/Esophagus Muscularis, GTEx/v8/Lung, GTEx/v8/Muscle Skeletal, GTEx/v8/Nerve Tibial, GTEx/v8/Pituitary, GTEx/v8/Skin Not Sun Exposed Suprapubic, GTEx/v8/Skin Sun Exposed Lower leg","Promoter anchored loops, Adult Cortex, Fetal Cortex, GM12878, IMR90, Mesenchymal Stem Cell, Trophoblast-like Cell, hESC","-","rs62128743, rs1395, rs2580759, rs1049817, rs7602534, rs4582, rs10182937, rs780100, rs8395, rs3811644, rs7571558, rs1881396, rs3749147, rs4665385, rs4666013, rs4666014, rs12473400, rs12478766, rs4666020, rs9678430, rs4564736, rs11902158, rs13016573, rs6708889, rs10177845, rs7577437, rs6738887, rs1395324, rs62128743, rs62128743, rs1395, rs1395, rs2580759, rs2580759, rs1395, rs3811644, rs4665385, rs12473400, rs12478766, rs9678430, rs4564736, rs36109859, rs4666014, rs9678430, rs4564736, rs10177845, rs7577437, rs6738887, rs1395324, rs1395, rs3811644, rs7571558, rs1881396, rs4665385, rs4666013, rs4666014, rs12473400, rs12478766, rs4666020, rs9678430, rs4564736, rs11902158, rs13016573, rs6708889, rs10177845, rs7577437, rs6738887, rs1395324, rs7571558, rs1881396, rs4564736, rs7571558, rs1881396, rs2580759, rs3811644, rs1881396, rs4666013, rs4666014, rs12473400, rs12478766, rs9678430, rs4564736","rs80051818;rs7602534;rs1528533;rs6547589;rs3215365;rs4665972;rs12475426;rs1104, rs2384575;rs1275541;rs35751294;rs1439768;rs34303460;rs62128743;rs557990471;rs577930230;rs1659689;rs2580754;rs1659676, rs1978881;rs2384576;rs6709602;rs1821986;rs1659696;rs34759750;rs2439074;rs62128745;rs62128746;rs12468809;rs1659699;rs62128747;rs11693001;rs12465084;rs5830038;rs1275504;rs60555785;rs79279175;rs34618115;rs1275501;rs1659685;rs1395;rs2580761;rs1275522;rs1275528;rs2580759;rs1275530;rs1275535;rs36109859;rs11126918;rs2840026, rs1659685;rs1395;rs2580761;rs1275522, rs1647267;rs2303370;rs10182937;rs780100;rs35886281;rs780101;rs61609483;rs3845686;rs809673;rs3214499;rs704791;rs780102, rs11689803;rs11126975;rs6743819;rs56166164;rs10205219;rs10205592;rs112796438;rs545450704;rs34264490;rs11693959;rs4665969;rs534971452;rs6760828;rs9678013;rs6729692;rs6729709;rs6716894;rs369277568;rs56789202;rs548218593;rs7586601;rs11409868;rs11695549;rs570110094;rs529338848;rs372524722;rs59639860;rs2280737;rs80051818;rs7602534;rs1528533;rs6547589;rs3215365;rs4665972;rs12475426;rs1104"
