GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,SYMBOL,P2,FDR P,FDR significant P,Bonferroni P,Bonferroni significant P,FDR P2,FDR significant P2,Bonferroni P2,Bonferroni significant P2
ENSG00000205334,2,27928653,27938599,9,3,151188,7.891,1.4988e-15,AC074091.13,0.7371336383569008,1.4161227299999999e-11,Yes,2.73111336e-11,Yes,0.9964257331379759,No,1.0,No
ENSG00000106636,7,44240567,44253893,23,5,151188,7.8865,1.5542999999999998e-15,YKT6,0.36169929992597816,1.4161227299999999e-11,Yes,2.8322454599999997e-11,Yes,0.9941528048164733,No,1.0,No
ENSG00000152253,2,169690642,169769881,104,12,151188,7.8327,2.387e-15,SPC25,0.2326901083872425,1.4498638e-11,Yes,4.3495914e-11,Yes,0.9888759523017299,No,1.0,No
ENSG00000121671,11,45868669,45904798,47,8,151188,7.6867,7.5495e-15,CRY2,0.2719307261716177,3.439174725e-11,Yes,1.37566989e-10,Yes,0.9888759523017299,No,1.0,No
ENSG00000106633,7,44183872,44237769,94,14,151188,7.6164,1.3045e-14,GCK,0.9877188649314399,4.3325842000000004e-11,Yes,2.3770598999999997e-10,Yes,0.9999211179663718,No,1.0,No
ENSG00000115207,2,27548716,27579868,13,2,151188,7.6048,1.4266e-14,GTF3C2,0.33488527647446903,4.3325842000000004e-11,Yes,2.59955052e-10,Yes,0.9941528048164733,No,1.0,No
ENSG00000134640,11,92702886,92718232,32,6,151188,7.5534,2.1205e-14,MTNR1B,0.3368904553685509,5.519964428571428e-11,Yes,3.8639751e-10,Yes,0.9941528048164733,No,1.0,No
ENSG00000134571,11,47352957,47374253,36,9,151188,7.4358,5.1958000000000013e-14,MYBPC3,0.09537284209620987,1.1834733450000003e-10,Yes,9.467786760000003e-10,Yes,0.9888759523017299,No,1.0,No
ENSG00000073734,2,169779448,169887832,183,19,151188,7.2997,1.4416e-13,ABCB11,0.7363022164608465,2.9187594666666663e-10,Yes,2.62688352e-09,Yes,0.9964257331379759,No,1.0,No
ENSG00000163581,3,170714137,170744539,65,4,151188,7.1605,4.0179e-13,SLC2A2,0.4989996532622644,7.32141738e-10,Yes,7.32141738e-09,Yes,0.9964257331379759,No,1.0,No
ENSG00000134825,11,61535973,61560274,27,5,151188,7.1255,5.1836e-13,TMEM258,0.19186335263437693,8.586869018181819e-10,Yes,9.445555920000001e-09,Yes,0.9888759523017299,No,1.0,No
ENSG00000152254,2,169757750,169766505,9,2,151188,6.9628,1.6675e-12,G6PC2,0.7816239194625022,2.53209875e-09,Yes,3.0385185e-08,Yes,0.9964257331379759,No,1.0,No
ENSG00000134824,11,61560452,61634826,111,10,151188,6.8714,3.1792e-12,FADS2,0.2910734427132844,4.456260184615385e-09,Yes,5.79313824e-08,Yes,0.9888759523017299,No,1.0,No
ENSG00000163795,2,27600098,27603657,1,1,151188,6.7902,5.6e-12,ZNF513,0.5322712834958792,7.2888e-09,Yes,1.0204320000000001e-07,Yes,0.9964257331379759,No,1.0,No
ENSG00000110514,11,47290712,47351582,107,9,151188,6.6202,1.7933e-11,MADD,0.2906545958709863,2.17850084e-08,Yes,3.2677512599999997e-07,Yes,0.9888759523017299,No,1.0,No
