GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
148398       1     859993     879961      2       1  16747       0.8693      0.19234
26155        1     879583     894679     28       2  18026       1.0843      0.13912
339451       1     895967     901099     13       2  16481      0.73712      0.23052
84069        1     901872     910488      1       1  15116     0.090361        0.464
84808        1     910579     917473      7       1  19139      0.60929      0.27117
57801        1     934342     936608     10       2  16288     -0.45276      0.67464
9636         1     948847     949920      1       1  18825     -0.72085       0.7645
375790       1     955503     991499     11       3  15990     -0.78814      0.78469
401934       1    1007126    1009687      4       1  16812     -0.15203      0.56042
54991        1    1017198    1051736     86       5  22066     -0.28211      0.61107
254173       1    1109286    1133315     67       8  19730       1.1318      0.12885
8784         1    1138888    1142163      3       1  15139       1.3305      0.09168
7293         1    1146706    1149703      7       2  20255      0.37114      0.35527
51150        1    1152288    1167447     83       3  22681     -0.24761      0.59778
126792       1    1167629    1170421      8       2  18253      0.55636      0.28898
388581       1    1177826    1182102      8       2  17807     -0.61266      0.72995
118424       1    1189292    1209234     25       2  19408     -0.12927      0.55143
6339         1    1215816    1227409      4       1  16856     -0.33485      0.63113
116983       1    1227764    1243304     10       1  17168     -0.24564      0.59702
126789       1    1243962    1247057      1       1  16977      0.32497       0.3726
54973        1    1246965    1260067      5       1  16775      0.46899      0.31954
80772        1    1260136    1264276      1       1  17093       -0.343       0.6342
1855         1    1270658    1284509      6       1  17922      0.62062      0.26742
54587        1    1288071    1297183      2       1  19395      0.34832       0.3638
54998        1    1309110    1310818      4       2  20600      0.61536      0.26916
81669        1    1321091    1334718     11       3  18235      0.48016      0.31556
55052        1    1337276    1342693     10       3  19265      0.73293       0.2318
441869       1    1353800    1356824      1       1  20133      0.56599       0.2857
64856        1    1370903    1378262      2       1  16119      0.15002      0.44037
219293       1    1378152    1405538      3       1  17412      0.31623      0.37591
83858        1    1407139    1444852     19       2  17255     -0.43822      0.66939
55210        1    1447523    1470067     43       4  17263      0.47345      0.31794
339453       1    1470158    1475740      6       2  19814     -0.31213      0.62253
29101        1    1477053    1510262     65       5  20891     -0.67868      0.75133
9906         1    1656277    1677438     16       1  16601       3.5182    0.0002172
65220        1    1682671    1711508     50       5  20155       3.7401   9.1975e-05
2782         1    1716725    1822552    104       9  23658       4.1744   1.4938e-05
163688       1    1846266    1848733      7       2  22180       4.2957   8.7086e-06
339456       1    1849029    1850740      3       1  21942        4.311   8.1246e-06
85452        1    1853390    1935276    218      14  20465        2.634    0.0042199
2563         1    1950768    1962192     12       2  20799     -0.20226      0.58014
5590         1    1981909    2116834    283      14  22061       -0.249      0.59832
100506504    1    2113250    2115812      2       1  23387     0.018708      0.49254
199990       1    2115899    2144159     40       6  19268     -0.55118      0.70924
6497         1    2160134    2241652    186      29  19639      0.40783       0.3417
79906        1    2251719    2323190    275      27  18836       1.2549      0.10475
11079        1    2323214    2336883     34       9  19655       1.1217        0.131
5192         1    2336241    2344010     18       5  19554      0.94544      0.17222
9651         1    2407754    2436964     56       8  19089       1.5912     0.055782
55229        1    2439975    2458061     30       3  21190       1.6705     0.047413
388585       1    2460184    2461684      2       1  17495      0.18362      0.42716
8764         1    2487291    2495268     16       3  21798    0.0089211      0.49644
127281       1    2517899    2522908      9       3  22575      0.88657      0.18766
79258        1    2522078    2564499    140       5  24425     -0.42614        0.665
100287898    1    2572807    2706230    214      13  18139       1.0744      0.14131
140625       1    2938046    2939467      2       1  21110     0.047331      0.48112
63976        1    2985565    3355185   1041     109  22208       1.0014      0.15831
27237        1    3371147    3397677     60       7  22026       -0.928       0.8233
1953         1    3404506    3528059    258      43  17758     -0.19401      0.57692
127262       1    3541556    3546695     10       3  22206      -1.2554      0.89533
49856        1    3547331    3566671     34       7  20407     -0.82493      0.79529
7161         1    3569129    3652765    149      25  19396     -0.64023      0.73899
148870       1    3668965    3688209     42       6  22520      0.36606      0.35716
388588       1    3689352    3692546      4       1  18052     -0.89399      0.81434
57470        1    3696784    3713068     39       7  21216       1.7213     0.042595
9731         1    3728645    3773797    267      13  24801       1.1786      0.11928
1677         1    3773845    3801993    120      12  21183     -0.29022      0.61417
339448       1    3805697    3816857     35       5  25326     -0.90138      0.81631
55966        1    4715105    4843851    548      62  25278       -1.131      0.87098
261734       1    5922870    6052618    357      16  25221      0.86622      0.19319
8514         1    6052358    6161253    218      32  21479     -0.30408      0.61947
26038        1    6161847    6240194    262      24  22713     -0.13038      0.55187
6146         1    6245080    6259679     27       4  20652       1.4807     0.069341
388591       1    6266189    6281359     31       4  17459      -1.2712      0.89817
23463        1    6281253    6296044     24       3  19258      -1.1773      0.88046
390992       1    6304252    6305638      4       1  19920    0.0078068      0.49689
387509       1    6307406    6321035     32       2  20545      0.75686      0.22457
11332        1    6324332    6453826    351      17  21404      -0.3553      0.63882
54626        1    6475292    6484724     25       4  22464      -0.5551      0.71059
83715        1    6484836    6521004     77       7  22022     -0.65449       0.7436
8718         1    6520787    6527432     13       3  23768       1.1158      0.13225
57449        1    6526152    6580121    119      17  23561      -0.1906      0.57558
79707        1    6581407    6614658    110       3  25683      0.26318      0.39621
80835        1    6614987    6639817     37       5  25437     -0.44523      0.67192
3104         1    6640051    6649340     11       5  23467      -2.1069      0.98244
9903         1    6650784    6662958     25       6  25584     -0.57906      0.71872
148479       1    6673756    6684093     22       5  25173      -1.1325      0.87129
90326        1    6684925    6695646     28       5  25420     -0.63199       0.7363
55735        1    6694228    6761966    138      14  25095     -0.47937      0.68416
23261        1    6845384    7829766   2495     173  24641       1.1222      0.13089
9341         1    7831329    7841492     32       8  25972      0.15246      0.43941
8863         1    7844413    7905241    224      25  25902     -0.19965      0.57912
10911        1    7907672    7913551     23       8  25278     -0.83172      0.79722
3604         1    7975931    8003225     49       6  21535     -0.64833      0.74162
11315        1    8021714    8045342     50       7  24375      -1.2887      0.90126
54206        1    8071779    8086393     22       4  24635      -1.8274      0.96618
50651        1    8378171    8404227     84      12  25431    -0.089319      0.53559
473          1    8412464    8877699    642      23  25216       2.6152    0.0044586
2023         1    8921059    8939151     25       4  25569      0.51944      0.30173
